曲名,難易度,STDORDX,スコア
アイドル,ReMAS,DX,1003209
勇者,ReMAS,DX,1003914
唱,ReMAS,DX,1005704
INTERNET YAMERO,ReMAS,DX,1008300
青春コンプレックス,ReMAS,DX,1006019
おとせサンダー,ReMAS,DX,1007672
Virtual to LIVE,ReMAS,DX,1007260
シリウスの輝きのように,ReMAS,DX,1005813
プラネタリウム・レヴュー,ReMAS,DX,1006748
ようこそジャパリパークへ,ReMAS,STD,994307
メズマライザー,ReMAS,DX,1007597
ダーリンダンス,ReMAS,DX,1008289
バグ,ReMAS,DX,1003027
フォニイ,ReMAS,DX,1007460
神っぽいな,ReMAS,DX,1009599
ラビットホール,ReMAS,DX,1006476
ヴァンパイア,ReMAS,DX,1005661
妄想感傷代償連盟,ReMAS,STD,991326
酔いどれ知らず,ReMAS,DX,1001093
テレキャスタービーボーイ,ReMAS,DX,942810
ロウワー,ReMAS,DX,998412
ロキ,ReMAS,STD,987774
ZIGG-ZAGG,ReMAS,STD,997013
マトリョシカ,ReMAS,STD,988122
カゲロウデイズ,ReMAS,STD,977167
だんだん早くなる,ReMAS,STD,1003851
はやくそれになりたい！,ReMAS,STD,985912
ブリキノダンス,ReMAS,STD,995151
幻想に咲いた花,ReMAS,DX,1005515
緋色のDance,ReMAS,STD,984467
マツヨイナイトバグ,ReMAS,DX,992594
ナイト・オブ・ナイツ,ReMAS,STD,981638
サドマミホリック,ReMAS,STD,1008652
最終鬼畜妹フランドール・S,ReMAS,STD,1000245
患部で止まってすぐ溶ける～狂気の優曇華院,ReMAS,STD,977761
Bad Apple!! feat.nomico,ReMAS,STD,997493
CYBER Sparks,ReMAS,STD,977598
FLOWER,ReMAS,STD,984402
Southern Cross,ReMAS,DX,976250
Lost Princess,ReMAS,STD,953385
JACKY [Remix],ReMAS,STD,966608
源平大戦絵巻テーマソング,ReMAS,STD,981574
言ノ葉カルマ,ReMAS,STD,983777
ぼくたちいつでも　しゅわっしゅわ！,ReMAS,DX,995435
シエルブルーマルシェ,ReMAS,DX,1007099
STEREOSCAPE,ReMAS,DX,1004511
一か罰,ReMAS,DX,1003006
花と、雪と、ドラムンベース。,ReMAS,STD,975235
Backyun! －悪い女－,ReMAS,STD,998652
ジングルベル,ReMAS,STD,934799
QZKago Requiem,ReMAS,STD,974106
Garakuta Doll Play,ReMAS,STD,977833
the EmpErroR,ReMAS,STD,979603
ガラテアの螺旋,ReMAS,STD,987616
PANDORA PARADOXXX,ReMAS,STD,864992
Alea jacta est!,ReMAS,STD,961945
Link,ReMAS,STD,990446
We Gonna Party,ReMAS,STD,988319
FFT,ReMAS,STD,983956
Panopticon,ReMAS,STD,969688
MAXRAGE,ReMAS,DX,989402
雷切-RAIKIRI-,ReMAS,STD,978670
バーチャルダム　ネーション,ReMAS,DX,983514
Dragoon,ReMAS,STD,1000434
Death Scythe,ReMAS,STD,960408
Beat of getting entangled,ReMAS,STD,984887
