曲名,難易度,STDORDX,スコア
ビビデバ,ReMAS,DX,999696
はいよろこんで,ReMAS,DX,1005063
アイドル,ReMAS,DX,1004574
勇者,ReMAS,DX,989748
踊,ReMAS,DX,998761
INTERNET YAMERO,ReMAS,DX,994210
廻廻奇譚,ReMAS,DX,976270
青春コンプレックス,ReMAS,DX,997924
シリウスの輝きのように,ReMAS,DX,977197
プラネタリウム・レヴュー,ReMAS,DX,1001383
Future,ReMAS,STD,1007559
メズマライザー,ReMAS,DX,993039
ダーリンダンス,ReMAS,DX,997278
バグ,ReMAS,DX,983980
フォニイ,ReMAS,DX,1007699
熱異常,ReMAS,DX,966738
神っぽいな,ReMAS,DX,907677
ラビットホール,ReMAS,DX,999959
ヴァンパイア,ReMAS,DX,986564
ヒバナ,ReMAS,STD,993542
妄想感傷代償連盟,ReMAS,STD,980357
酔いどれ知らず,ReMAS,DX,998233
テレキャスタービーボーイ,ReMAS,DX,997827
ロウワー,ReMAS,DX,989066
だんだん早くなる,ReMAS,STD,958176
はやくそれになりたい！,ReMAS,STD,988197
Tell Your World,ReMAS,STD,992013
ブリキノダンス,ReMAS,STD,975500
ロストワンの号哭,ReMAS,STD,965931
ロミオとシンデレラ,ReMAS,DX,966874
幻想に咲いた花,ReMAS,DX,975881
明星ロケット,ReMAS,STD,949113
緋色のDance,ReMAS,STD,983370
マツヨイナイトバグ,ReMAS,DX,944502
ナイト・オブ・ナイツ,ReMAS,STD,897041
最終鬼畜妹フランドール・S,ReMAS,STD,967569
エピクロスの虹はもう見えない,ReMAS,STD,1001158
Bad Apple!! featnomico,ReMAS,STD,990407
Lost Princess,ReMAS,STD,971814
Sky High [Reborn],ReMAS,STD,959622
JACKY [Remix],ReMAS,STD,963267
Burning Hearts ～炎のANGEL～,ReMAS,STD,975608
Save This World νMIX,ReMAS,STD,971468
檄！帝国華撃団(改),ReMAS,STD,1002972
Crush On You,ReMAS,STD,984574
Sun Dance,ReMAS,STD,969763
In Chaos,ReMAS,STD,911901
Rooftop Run: Act1,ReMAS,STD,999176
洗脳,ReMAS,STD,998639
言ノ葉カルマ,ReMAS,STD,969085
ぼくたちいつでも　しゅわっしゅわ！,ReMAS,DX,974600
シエルブルーマルシェ,ReMAS,DX,1004570
STEREOSCAPE,ReMAS,DX,991985
超常マイマイン,ReMAS,DX,966533
みんなのマイマイマー,ReMAS,DX,1002805
FEEL the BEATS,ReMAS,STD,941039
一か罰,ReMAS,DX,989649
アージェントシンメトリー,ReMAS,STD,949889
花と、雪と、ドラムンベース。,ReMAS,STD,982723
Night Fly,ReMAS,STD,992175
Starlight Disco,ReMAS,STD,995601
planet dancer,ReMAS,STD,997860
Backyun! －悪い女－,ReMAS,STD,999269
ガラテアの螺旋,ReMAS,STD,946123
PANDORA PARADOXXX,ReMAS,STD,756649
Link,ReMAS,STD,1003211
We Gonna Party,ReMAS,DX,966496
FFT,ReMAS,STD,968096
Panopticon,ReMAS,STD,942786
D✪N’T ST✪P R✪CKIN’,ReMAS,STD,995944
System “Z”,ReMAS,STD,945881
系ぎて,ReMAS,DX,711632
レーイレーイ,ReMAS,DX,993213

曲名,難易度,STDORDX,スコア
モエチャッカファイア,MAS,DX,996688
もういいよ,MAS,DX,1001765
マヌルネコのうた,MAS,DX,982096
スナネコのうた,MAS,DX,996092
シカ色デイズ,MAS,DX,1002587
きゅびずむ,MAS,DX,1006046
きゅびびびびずむ,MAS,DX,983662
阿修羅ちゃん,MAS,DX,885967
踊,MAS,DX,997921
マツケンサンバⅡ,MAS,DX,996972
INTERNET OVERDOSE,MAS,DX,1006103
だから僕は音楽を辞めた,MAS,DX,986991
前前前世,MAS,STD,998355
廻廻奇譚,MAS,DX,886200
青春コンプレックス,MAS,DX,1002170
愛包ダンスホール,MAS,DX,1004274
モンスターカミング,MAS,DX,1000873
"メイトなやつら（FEAT. 天開司, 佐藤ホームズ, あっくん大魔王 & 歌衣メイカ）",MAS,DX,1008411
夢現妄想世界,MAS,DX,999472
さくゆいたいそう,MAS,DX,985370
バラバラ〜仮初レインボーローズ〜,MAS,DX,996936
偉大なる悪魔は実は大天使パトラちゃん様なのだ！,MAS,DX,985518
シュガーホリック,MAS,DX,998873
Dive into the ZONe,MAS,DX,891414
モンダイナイトリッパー！,MAS,DX,998254
ヒバリ,MAS,DX,1003301
"Hello, Hologram",MAS,DX,985560
ヒトガタ,MAS,DX,1005468
On your mark (104期 Ver.),MAS,DX,1006104
壱雫空,MAS,DX,987912
過去を喰らう,MAS,DX,989962
Burn My Soul,MAS,DX,986461
ULTRA POWER,MAS,DX,969392
あつすぎの歌,MAS,DX,988763
お願いマッスル,MAS,DX,989796
バラライカ,MAS,STD,1004929
ネ！コ！,MAS,STD,976633
REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,MAS,STD,969641
fantastic dreamer,MAS,STD,973438
真・ハンサム体操でズンドコホイ,MAS,STD,1004301
GET!! 夢&DREAM,MAS,STD,1004427
