曲名,難易度,STDORDX,スコア
ビビデバ,ReMAS,DX,999696
はいよろこんで,ReMAS,DX,1005063
アイドル,ReMAS,DX,1001629
勇者,ReMAS,DX,989748
INTERNET YAMERO,ReMAS,DX,994210
廻廻奇譚,ReMAS,DX,976270
青春コンプレックス,ReMAS,DX,997924
シリウスの輝きのように,ReMAS,DX,977197
プラネタリウム・レヴュー,ReMAS,DX,1001383
メズマライザー,ReMAS,DX,993039
ダーリンダンス,ReMAS,DX,997278
バグ,ReMAS,DX,983980
フォニイ,ReMAS,DX,1007699
熱異常,ReMAS,DX,966738
神っぽいな,ReMAS,DX,907677
ラビットホール,ReMAS,DX,999959
ヴァンパイア,ReMAS,DX,986564
ヒバナ,ReMAS,DX,993542
妄想感傷代償連盟,ReMAS,DX,980357
酔いどれ知らず,ReMAS,DX,981042
テレキャスタービーボーイ,ReMAS,DX,997827
ロウワー,ReMAS,DX,989066
だんだん早くなる,ReMAS,DX,958176
はやくそれになりたい！,ReMAS,DX,988197
ブリキノダンス,ReMAS,DX,975500
ロストワンの号哭,ReMAS,DX,965931
幻想に咲いた花,ReMAS,DX,975881
明星ロケット,ReMAS,DX,949113
緋色のDance,ReMAS,DX,983370
マツヨイナイトバグ,ReMAS,DX,944502
最終鬼畜妹フランドール・S,ReMAS,DX,967569
エピクロスの虹はもう見えない,ReMAS,DX,1001158
Bad Apple!! feat.nomico,ReMAS,DX,990407
JACKY [Remix],ReMAS,DX,963267
Burning Hearts ～炎のANGEL～,ReMAS,DX,975608
Save This World νMIX,ReMAS,DX,971468
Crush On You,ReMAS,DX,984574
Sun Dance,ReMAS,DX,969763
洗脳,ReMAS,DX,998639
ぼくたちいつでも　しゅわっしゅわ！,ReMAS,DX,974600
シエルブルーマルシェ,ReMAS,DX,999747
STEREOSCAPE,ReMAS,DX,991985
一か罰,ReMAS,DX,989649
アージェントシンメトリー,ReMAS,DX,949889
planet dancer,ReMAS,DX,997860
Backyun! －悪い女－,ReMAS,DX,994637
PANDORA PARADOXXX,ReMAS,DX,756649
We Gonna Party,ReMAS,DX,966496
FFT,ReMAS,DX,949763
D✪N’T ST✪P R✪CKIN’,ReMAS,DX,995944
System “Z”,ReMAS,DX,945881
系ぎて,ReMAS,DX,711632
レーイレーイ,ReMAS,DX,993213
