曲名,難易度,STDORDX,譜面定数,レベル,画像ファイル名

"きゅびびびびずむ",EXP,DX,12.0,12,"きゅびびびびずむ.png"
"シリウスの輝きのように",MAS,DX,12.0,12,"シリウスの輝きのように.png"
"HUMANBORG",EXP,DX,12.0,12,"HUMANBORG.png"
"ハム太郎とっとこうた",MAS,DX,12.0,12,"ハム太郎とっとこうた.png"
"バラライカ",MAS,STD,12.0,12,"バラライカ.png"
"HOT LIMIT",MAS,DX,12.0,12,"HOT LIMIT.png"
"ウマイネームイズうまみちゃん",MAS,DX,12.0,12,"ウマイネームイズうまみちゃん.png"
"ヒバナ",MAS,STD,12.0,12,"ヒバナ.png"
"妄想税",MAS,STD,12.0,12,"妄想税.png"
"回る空うさぎ",MAS,DX,12.0,12,"回る空うさぎ.png"
"初音ミクの消失",EXP,DX,12.0,12,"初音ミクの消失.png"
"太陽系デスコ",MAS,DX,12.0,12,"太陽系デスコ.png"
"結ンデ開イテ羅刹ト骸",MAS,STD,12.0,12,"結ンデ開イテ羅刹ト骸.png"
"だんだん早くなる",MAS,STD,12.0,12,"だんだん早くなる.png"
"約束",MAS,DX,12.0,12,"約束.png"
"だからパンを焼いたんだ",MAS,DX,12.0,12,"だからパンを焼いたんだ.png"
"踊れオーケストラ",MAS,STD,12.0,12,"踊れオーケストラ.png"
"ハロ／ハワユ",MAS,STD,12.0,12,"ハロ／ハワユ.png"
"ナイト・オブ・ナイツ",EXP,STD,12.0,12,"ナイト・オブ・ナイツ.png"
"How To Make 音ゲ～曲！",EXP,DX,12.0,12,"How To Make 音ゲ～曲！.png"
"with U",EXP,DX,12.0,12,"with U.png"
"僕の和風本当上手",EXP,DX,12.0,12,"僕の和風本当上手.png"
"ULTRA SYNERGY MATRIX",EXP,DX,12.0,12,"ULTRA SYNERGY MATRIX.png"
"竹",EXP,DX,12.0,12,"竹.png"
"Grievous Lady",EXP,DX,12.0,12,"Grievous Lady.png"
"Big Daddy",EXP,DX,12.0,12,"Big Daddy.png"
"Destr0yer",EXP,STD,12.0,12,"Destr0yer.png"
"Halfway(>∀<)",EXP,DX,12.0,12,"Halfway(>∀<).png"
"Caterpillar Song",EXP,DX,12.0,12,"Caterpillar Song.png"
"スーパーシンメトリー",EXP,DX,12.0,12,"スーパーシンメトリー.png"
"Re：End of a Dream",EXP,DX,12.0,12,"Re：End of a Dream.png"
"Her Dream Is To Be A Fantastic Sorceress",MAS,STD,12.0,12,"Her Dream Is To Be A Fantastic Sorceress.png"
"DADDY MULK -Groove remix-",EXP,STD,12.0,12,"DADDY MULK -Groove remix-.png"
"ばかみたい【Taxi Driver Edition】",EXP,DX,12.0,12,"ばかみたい【Taxi Driver Edition】.png"
"炎歌 -ほむらうた-",EXP,STD,12.0,12,"炎歌 -ほむらうた-.png"
"Deicide",EXP,DX,12.0,12,"Deicide.png"
"POWER OF UNITY",EXP,DX,12.0,12,"POWER OF UNITY.png"
"oboro",EXP,STD,12.0,12,"oboro.png"
"enchanted wanderer",EXP,DX,12.0,12,"enchanted wanderer.png"
"Comet Panto Men!",EXP,DX,12.0,12,"Comet Panto Men!.png"
"[X]",EXP,DX,12.0,12,"[X].png"
"N3V3R G3T OV3R",EXP,DX,12.0,12,"N3V3R G3T OV3R.png"
"白花の天使",EXP,DX,12.0,12,"白花の天使.png"
"Raven Emperor",EXP,DX,12.0,12,"Raven Emperor.png"
"Alcyone",EXP,DX,12.0,12,"Alcyone.png"
"NAGAREBOSHI☆ROCKET",EXP,DX,12.0,12,"NAGAREBOSHI☆ROCKET.png"
"Last Samurai",EXP,DX,12.0,12,"Last Samurai.png"
"ARAIS",EXP,DX,12.0,12,"ARAIS.png"
"Nitrous Fury",EXP,STD,12.0,12,"Nitrous Fury.png"
"Zitronectar",EXP,DX,12.0,12,"Zitronectar.png"
"Jump!! Jump!! Jump!!",MAS,DX,12.0,12,"Jump!! Jump!! Jump!!.png"
"R'N'R Monsta",EXP,DX,12.0,12,"R'N'R Monsta.png"
"Ai C",EXP,DX,12.0,12,"Ai C.png"
"SUPER AMBULANCE",EXP,DX,12.0,12,"SUPER AMBULANCE.png"
"Agitation！",MAS,DX,12.0,12,"Agitation！.png"
"Climax",EXP,DX,12.0,12,"Climax.png"
"アイドル新鋭隊",MAS,DX,12.1,12,"アイドル新鋭隊.png"
"熱異常",MAS,DX,12.1,12,"熱異常.png"
"立ち入り禁止",MAS,STD,12.1,12,"立ち入り禁止.png"
"ARROW",EXP,STD,12.1,12,"ARROW.png"
"最終鬼畜妹フランドール・S",MAS,STD,12.1,12,"最終鬼畜妹フランドール・S.png"
"Doll Judgment",EXP,STD,12.1,12,"Doll Judgment.png"
"田中",EXP,DX,12.1,12,"田中.png"
"First Dance",EXP,DX,12.1,12,"First Dance.png"
"御旗のもとに",EXP,STD,12.1,12,"御旗のもとに.png"
"FEEL ALIVE",EXP,STD,12.1,12,"FEEL ALIVE.png"
"U&iVERSE -銀河鸞翔-",EXP,DX,12.1,12,"U&iVERSE -銀河鸞翔-.png"
"Death Scythe",EXP,STD,12.1,12,"Death Scythe.png"
"Tic Tac DREAMIN’",MAS,STD,12.1,12,"Tic Tac DREAMIN’.png"
"Virtual to LIVE",MAS,DX,12.2,12,"Virtual to LIVE.png"
"story",MAS,DX,12.2,12,"story.png"
"いーあるふぁんくらぶ",MAS,STD,12.2,12,"いーあるふぁんくらぶ.png"
"花となれ",MAS,DX,12.2,12,"花となれ.png"
"再会",MAS,DX,12.2,12,"再会.png"
"Melody！",MAS,DX,12.2,12,"Melody！.png"
"Prismatic",MAS,DX,12.2,12,"Prismatic.png"
"Jack-the-Ripper◆",EXP,STD,12.2,12,"Jack-the-Ripper◆.png"
"BATTLE NO.1",EXP,DX,12.2,12,"BATTLE NO.1.png"
"Luminaria",EXP,DX,12.2,12,"Luminaria.png"
"Sakura Fubuki",EXP,STD,12.2,12,"Sakura Fubuki.png"
"神室雪月花",EXP,STD,12.2,12,"神室雪月花.png"
"BLACK ROSE",MAS,DX,12.2,12,"BLACK ROSE.png"
"Fraq",EXP,DX,12.2,12,"Fraq.png"
"Spin me harder",EXP,STD,12.2,12,"Spin me harder.png"
"Sqlupp (Camellia's "Sqleipd*Hiytex" Remix)",EXP,DX,12.2,12,"Sqlupp (Camellia's "Sqleipd*Hiytex" Remix).png"
"モ°ルモ°ル",EXP,DX,12.2,12,"モ°ルモ°ル.png"
"Yorugao",EXP,DX,12.2,12,"Yorugao.png"
"MYTHOS",EXP,STD,12.2,12,"MYTHOS.png"
"美夜月鏡",EXP,DX,12.2,12,"美夜月鏡.png"
"WE'RE BACK!!",EXP,DX,12.2,12,"WE'RE BACK!!.png"
